farmacia,nome,marca,ean_gtin,preco_de,preco_por,preco_cartao,preco_pix,desconto_pct,url,data_coleta
FarmaPonte,"Sal De Frutas Eno 2 Envelopes Com 5G De Po Efervescente De Uso Oral, Tradicional",PF Consumer Healthcare,7896015560027,4.99,4.99,4.99,4.89,0.0,https://www.farmaponte.com.br/sal-de-frutas-eno-2-envelopes-com-5g-de-po-efervescente-de-uso-oral-tradicional/p,2026-05-05 09:09:17
FarmaPonte,Tamarine Caixa Com 20 Capsulas,Cosmed,7896179850040,100.99,96.06,96.06,94.14,4.88,https://www.farmaponte.com.br/tamarine-caixa-com-20-capsulas/p,2026-05-05 09:09:17
FarmaPonte,Suplemento Alimentar Prolive 30 Cápsulas,Aché,7896658025112,163.0,139.58,139.58,134.0,14.37,https://www.farmaponte.com.br/prolive-55mg-30cap-zz/p,2026-05-05 09:09:18
FarmaPonte,Nistatina 100.000ui g + Óxido de Zinco 200mg g Neo Química Pomada 60g,Neo Química,7896714224688,31.08,23.31,23.31,22.84,25.0,https://www.farmaponte.com.br/nistatina-oxido-de-zinco-neo-quimica-100000uig-200mgg-caixa-com-1-bisnaga-com-60g-de-pomada-de-uso-dermatologico/p,2026-05-05 09:09:18
FarmaPonte,"Emistin Comprimido 1Mg + 0,5Mg, Caixa Com 20 Comprimidos",EMS,7896004801902,58.0,37.98,37.98,37.22,34.52,https://www.farmaponte.com.br/emistin-comprimido-1mg-05mg-caixa-com-20-comprimidos/p,2026-05-05 09:09:18
FarmaPonte,Engov 24Cpr,Cosmed,7896094907324,35.99,35.99,35.99,35.27,0.0,https://www.farmaponte.com.br/engov-24cpr/p,2026-05-05 09:09:19
FarmaPonte,Ibuprofeno 600 Mg 10 Comprimidos Prat,Prati-Donaduzzi,7898148307470,21.55,19.39,19.39,19.0,10.02,https://www.farmaponte.com.br/ibuprofeno-600mg-10cpr-prat-x28/p,2026-05-05 09:09:19
FarmaPonte,"Espironolactona Eurofarma 25Mg, Caixa Com 30 Comprimidos",Eurofarma,7891317431358,29.15,9.99,9.99,9.79,65.73,https://www.farmaponte.com.br/espironolactona-eurofarma-25mg-caixa-com-30-comprimidos/p,2026-05-05 09:09:19
FarmaPonte,Fluconazol 150Mg 2Cap Cim Of,Cimed,7896523208770,21.73,10.87,10.87,10.65,49.98,https://www.farmaponte.com.br/zz-fluconazol-150mg2cap-cim-of/p,2026-05-05 09:09:20
FarmaPonte,"Hidroclorotiazida Neo Quimica 25Mg, Caixa Com 30 Comprimidos",Neo Química,7896714211978,4.48,1.99,1.99,1.95,55.58,https://www.farmaponte.com.br/hidroclorotiazida-neo-quimica-25mg-caixa-com-30-comprimidos/p,2026-05-05 09:09:20
