farmacia,url,nome,marca,ean_gtin,preco_de,preco_por,desconto_pct,preco_cartao,data_coleta
FarmaPonte,https://www.farmaponte.com.br/prolive-55mg-30cap-zz/p,Suplemento Alimentar Prolive 30 Cápsulas,Aché,7896658025112,163.0,134.0,17.79,69.79,2026-05-04 13:29:51
FarmaPonte,https://www.farmaponte.com.br/neosoro-05mgml-caixa-com-1-frasco-gotejador-com-30ml-de-solucao-de-uso-nasal/p,"Neosoro 0,5Mg Ml, Caixa Com 1 Frasco Gotejador Com 30Ml De Solucao De Uso Nasal",Neo Química,2000100363348,12.14,6.18,49.09,6.31,2026-05-04 13:29:55
FarmaPonte,https://www.farmaponte.com.br/engov-24cpr/p,Engov 24Cpr,Cosmed,7896094907324,35.99,35.27,2.0,35.99,2026-05-04 13:29:59
FarmaPonte,https://www.farmaponte.com.br/nistatina-oxido-de-zinco-neo-quimica-100000uig-200mgg-caixa-com-1-bisnaga-com-60g-de-pomada-de-uso-dermatologico/p,Nistatina 100.000ui g + Óxido de Zinco 200mg g Neo Química Pomada 60g,Neo Química,7896714224688,31.08,22.84,26.51,23.31,2026-05-04 13:30:02
FarmaPonte,https://www.farmaponte.com.br/espironolactona-eurofarma-25mg-caixa-com-30-comprimidos/p,"Espironolactona Eurofarma 25Mg, Caixa Com 30 Comprimidos",Eurofarma,7891317431358,29.15,9.79,66.42,9.99,2026-05-04 13:30:04
FarmaPonte,https://www.farmaponte.com.br/dorflex-35mg-300mg-50mg-caixa-com-36-comprimidos-porta-blister-1-unidade/p,"Dorflex, Caixa Com 36 Comprimidos",Sanofi,7891058017507,24.95,23.67,5.13,24.15,2026-05-04 13:30:08
FarmaPonte,https://www.farmaponte.com.br/alopurinol-medley-100mg-caixa-com-30-comprimidos/p,"Alopurinol Medley 100Mg, Caixa Com 30 Comprimidos",Medley,7896422516921,11.9,11.31,4.96,11.54,2026-05-04 13:30:11
FarmaPonte,https://www.farmaponte.com.br/steaton-200mg-caixa-com-60-capsulas/p,"Steaton 200Mg, Caixa Com 60 Capsulas",Aché,7896658028519,189.84,156.7,17.46,53.3,2026-05-04 13:30:14
FarmaPonte,https://www.farmaponte.com.br/hidroclorotiazida-neo-quimica-25mg-caixa-com-30-comprimidos/p,"Hidroclorotiazida Neo Quimica 25Mg, Caixa Com 30 Comprimidos",Neo Química,7896714211978,4.48,1.95,56.47,1.99,2026-05-04 13:30:18
FarmaPonte,https://www.farmaponte.com.br/zz-fluconazol-150mg2cap-cim-of/p,Fluconazol 150Mg 2Cap Cim Of,Cimed,7896523208770,21.73,10.65,50.99,10.87,2026-05-04 13:30:22
FarmaPonte,https://www.farmaponte.com.br/dipirona-sodica-prati-donaduzzi-500mg-blister-com-10-comprimidos/p,"Dipirona Sodica Prati-Donaduzzi 500Mg, Blister Com 10 Comprimidos",Prati-Donaduzzi,7898148294121,5.4,5.29,2.04,5.4,2026-05-04 13:30:25
